Month,Day,SeriesID,RunType,RunFolder,p1064LattDepths,s915LattDepths,LatticeHoldTimes,KDCal915,Comments
3,17,A,Disorder,16 - 1064 15Er Vary 915 Er Lattice hold 1000ms in situ img smaller range,15,0.008;0.016;0.04;0.08;0.16;0.4;0.8;1.2;1.6,1000,0.434,This was our initial localization measurement test.; The harmonic;confinement was too weak to hold the atoms at lattice;depths below 15Er (until reflected ratio was lowered);Lower (normal) imaging beam power;NOTE; Later found issue that the -0.1V initial setpoint causes a 100ms delay on the lattice rampup;NOTE; Not sure what the ramp up time was (know it was < 250ms)
3,17,A,Disorder,17 - 1064 15 Er Vary 915 Er lattice hold 5000ms in situ img no bm,15,0.008;0.016;0.04;0.08;0.16;0.4;0.8;1.2;1.6,5000,0.434,Changed amount of harmonic confinement to get below ;Lower (normal) imaging beam power;NOTE: Later found issue that the -0.1V initial setpoint causes a 100ms delay on the lattice rampup;NOTE: Not sure what the ramp up time was (know it was < 250ms)
3,17,A,Disorder,18 - 1064 15 Er Vary 915 Er lattice hold 10000ms in situ img no BM,15,0.008;0.016;0.04;0.08;0.16;0.4;0.8;1.2;1.6,10000,0.434,Changed amount of harmonic confinement to get below ;Lower (normal) imaging beam power;NOTE: Later found issue that the -0.1V initial setpoint causes a 100ms delay on the lattice rampup;NOTE: Not sure what the ramp up time was (know it was < 250ms)
3,17,B,Disorder,26 - redo 23 1064 10Er Vary 915 Er lattice hold 5000ms,10,0.008;0.016;0.04;0.08;0.16;0.4;0.8;1.2;1.6,5000,0.434,
3,17,C,Expansion,30 - 1064 10Er 915 0.01 Er vary lattice hold,10,0.008,500; 1000; 2000; 5000; 7500; 10000; 15000; 20000,0.434,
3,17,C,Expansion,27 - 1064 10Er 915 0.05 Er vary lattice hold,10,0.04,500; 1000; 2000; 5000; 7500; 10000; 15000; 20000,0.434,
3,17,C,Expansion,28 - 1064 10Er 915 0.5 Er vary lattice hold,10,0.08,500; 1000; 2000; 5000; 7500; 10000; 15000; 20000,0.434,
3,17,C,Expansion,29 - 1064 10Er 915 0.1 Er vary lattice hold,10,0.4,500; 1000; 2000; 5000; 7500; 10000; 15000; 20000,0.434,
3,18,A,Disorder,17 - lattice hold 5000ms 1064 10Er Vary 915 lattice depth,10,0.01;0.02;0.05;0.1;0.2;0.5;1;1.5,5000,0.3972,
3,18,B,Expansion,20 -  1064 10Er 915 0.02Er vary lattice hold try odt snap off repeats of 19,10,0.02,0;50;100;200;500;750;1000;2000;5000;7500;10000;15000;20000,0.3972,
3,18,B,Expansion,22 -  1064 10Er 915 0.1Er vary lattice hold try odt snap off repeats,10,0.1,0;50;100;200;500;750;1000;2000;5000;7500;10000;15000;20000,0.3972,
3,18,B,Expansion,21 -  1064 10Er 915 0.5Er vary lattice hold try odt snap off repeats,10,0.5,0;50;100;200;500;750;1000;2000;5000;7500;10000;15000;20000,0.3972,
3,18,C,Expansion,26 -  1064 10Er 915 0.02Er vary lattice hold try odt snap off repeats img vva 780,10,0.02,0;50;100;200;500;750;1000;2000;5000;7500;10000;15000;20000,0.3972,
3,18,C,Expansion,25 -  1064 10Er 915 0.1Er vary lattice hold try odt snap off repeats img vva 780,10,0.1,0;50;100;200;500;750;1000;2000;5000;7500;10000;15000;20000,0.3972,
3,18,C,Expansion,24 -  1064 10Er 915 0.5Er vary lattice hold try odt snap off repeats img vva 780,10,0.5,0;50;100;200;500;750;1000;2000;5000;7500;10000;15000;20000,0.3972,
3,19,A,Disorder,10 - 1064 8.5Er Vary 915 depth in situ lattice hold 10000ms,8.5,0.02; 0.05;  0.1; 0.2; 0.5; 1; 2; 4,10000,0.4218,
3,19,B,Expansion,12 - 1064 8.5Er 915 0.05Er vary lattice hold 5 repeats set 1,8.5,0.05,0; 50; 100; 200; 500; 750; 1000; 1500; 2000; 5000; 7500; 10000; 15000; 20000,0.4218,
3,19,B,Expansion,13 - 1064 8.5Er 915 0.05Er vary lattice hold 5 repeats set 2,8.5,0.05,0; 50; 100; 200; 500; 750; 1000; 1500; 2000; 5000; 7500; 10000; 15000; 20000,0.4218,
3,19,B,Expansion,14 - 1064 8.5Er 915 0.05Er vary lattice hold 5 repeats set 3,8.5,0.05,0; 50; 100; 200; 500; 750; 1000; 1500; 2000; 5000; 7500; 10000; 15000; 20000,0.4218,
3,19,B,Expansion,22 - 1064 8.5Er 915 0.05Er vary lattice hold 5 repeats set 1 lattice ramp 250ms,8.5,0.05,0; 50; 100; 200; 500; 750; 1000; 1500; 2000; 5000; 7500; 10000; 15000; 20000,0.4218,
3,19,B,Expansion,23 - 1064 8.5Er 915 0.05Er vary lattice hold lattice ramp 250ms 5 repeats set 2,8.5,0.05,0; 50; 100; 200; 500; 750; 1000; 1500; 2000; 5000; 7500; 10000; 15000; 20000,0.4218,
3,19,B,Expansion,24 - 1064 8.5Er 915 0.05Er vary lattice hold lattice ramp 250ms 5 repeats set 3,8.5,0.05,0; 50; 100; 200; 500; 750; 1000; 1500; 2000; 5000; 7500; 10000; 15000; 20000,0.4218,
3,19,B,Expansion,25 - 1064 10Er 915 0.1Er vary lattice hold 5 repeats set 1 ramp 250ms,8.5,0.1,0; 50; 100; 200; 500; 750; 1000; 1500; 2000; 5000; 7500; 10000; 15000; 20000,0.4218,
3,19,B,Expansion,26 - 1064 10Er 915 0.1Er vary lattice hold 5 repeats set 2 ramp 250ms,8.5,0.1,0; 50; 100; 200; 500; 750; 1000; 1500; 2000; 5000; 7500; 10000; 15000; 20000,0.4218,
3,19,B,Expansion,27 - 1064 10Er 915 0.1Er vary lattice hold 5 repeats set 3 ramp 250ms,8.5,0.1,0; 50; 100; 200; 500; 750; 1000; 1500; 2000; 5000; 7500; 10000; 15000; 20000,0.4218,
3,19,B,Expansion,16 - 1064 8.5Er 915 0.2Er vary lattice hold 5 repeats set 1,8.5,0.2,0; 50; 100; 200; 500; 750; 1000; 1500; 2000; 5000; 7500; 10000; 15000; 20000,0.4218,
3,19,B,Expansion,17 - 1064 8.5Er 915 0.2Er vary lattice hold 5 repeats set 2,8.5,0.2,0; 50; 100; 200; 500; 750; 1000; 1500; 2000; 5000; 7500; 10000; 15000; 20000,0.4218,
3,19,B,Expansion,18 - 1064 8.5Er 915 0.2Er vary lattice hold 5 repeats set 3,8.5,0.2,0; 50; 100; 200; 500; 750; 1000; 1500; 2000; 5000; 7500; 10000; 15000; 20000,0.4218,
3,19,B,Expansion,19 - 1064 8.5Er 915 1Er vary lattice hold 5 repeats set 1,8.5,1,0; 50; 100; 200; 500; 750; 1000; 1500; 2000; 5000; 7500; 10000; 15000; 20000,0.4218,
3,19,B,Expansion,20 - 1064 8.5Er 915 1Er vary lattice hold 5 repeats set 2,8.5,1,0; 50; 100; 200; 500; 750; 1000; 1500; 2000; 5000; 7500; 10000; 15000; 20000,0.4218,
3,19,B,Expansion,21 - 1064 8.5Er 915 1Er vary lattice hold 5 repeats set 3,8.5,1,0; 50; 100; 200; 500; 750; 1000; 1500; 2000; 5000; 7500; 10000; 15000; 20000,0.4218,